Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite,Correlation_r1,Correlation_r2,Correlation_r3,Correlation_r4,Correlation_r5,Correlation_r6,Correlation_r7,Correlation_r8
1.8,-0.6201812965040752,0.0002765876396193123,0.4192566555835917,0.3100906482520376,0.10785907044262832,0.04062718666984245,0.016120142745297182,0.006779830681813473,0.0029830227109318656,0.001462393043301009,0.0010716324996975517
1.9,-0.5814364639999225,0.00032202266957771965,0.3651354577398933,0.2907182319999613,0.0939009426292842,0.03264529631877395,0.011871853541092565,0.004499612388705417,0.00182859445512037,0.0009802564119943775,0.0007856763025361232
2.0,-0.5472029223511196,0.0002849091301785787,0.32045420742569064,0.2736014611755598,0.08268238107303813,0.026813049753914624,0.00909819014384053,0.0032467813846102237,0.0009904693227466813,6.620572546351705e-05,-0.00017587165655448908
2.1,-0.5170516979683267,0.0002623965768693906,0.28635719801547554,0.25852584898416336,0.07312155822490442,0.022160824478690746,0.007140453293084672,0.00239685409006919,0.0008675097772026671,0.00035644275194598654,0.00020552999192435036
2.2,-0.490212066207849,0.00025878155256961184,0.25409230763162094,0.2451060331039245,0.06546488114736322,0.018683192932413686,0.0055854916733777465,0.001742099072881788,0.0005165414090525655,0.00032993590291128855,0.0002661386585438577
2.3,-0.46593383891684714,0.00023798941061529982,0.22920151028639568,0.23296691945842357,0.05872191518465028,0.015687226683279862,0.004376363390749135,0.0014698746994420732,0.0004031769553893551,0.00019796395351847127,-0.00010821953211092614
2.4,-0.44363342904662284,0.00029072181210133987,0.20765891755032037,0.22181671452331142,0.052937845867340724,0.013398592455757889,0.0035648311528601105,0.0010962566559121225,0.0003855708787768319,0.00023308611282329972,0.00014386106288213278
2.5,-0.42451683156875325,0.00017136864449381897,0.19031638523777816,0.21225841578437663,0.0482520590991024,0.011683416292905823,0.002940196532682125,0.0008131173782585395,0.00033193364374856104,8.814033254695328e-05,-6.802179293288269e-05
2.6,-0.405955224825989,0.00018100064097337928,0.1732317925376351,0.2029776124129945,0.04385037554293759,0.00993941116323311,0.0023163848014210835,0.00047043806350845533,4.6431536613495944e-05,0.00022923153862724699,0.0005030221318176098
2.7,-0.3897660330910172,0.00025146782794758865,0.15829542446269443,0.1948830165455086,0.04017986353065863,0.008771242142458944,0.0020456965396085575,0.0004105979984478103,6.84111101191503e-06,4.034022011214123e-05,0.00019620170558155053
2.8,-0.37445927615986935,0.0001799845972878157,0.14589693549692961,0.18722963807993467,0.03705391294729354,0.007681414031983201,0.0015881483390636302,0.0001260584365255964,7.01131473859937e-05,-3.998446951639625e-05,-0.00010256428242237866
2.9,-0.36032054791317325,0.00021209030808148655,0.1354081478669405,0.18016027395658663,0.03423384281262366,0.006708728265577654,0.0014218445973071666,0.0004362004330174501,6.968237465356132e-05,2.9256819147803474e-05,-1.5007636203617844e-05
3.0,-0.34724157496088454,0.00020984985057447028,0.12515938448558947,0.17362078748044227,0.03167492932113061,0.006065319176885774,0.0011176815947804013,7.028014856387527e-05,7.164263838334875e-05,9.525493544004164e-05,7.932036040264533e-05
