Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite,Correlation_r1,Correlation_r2,Correlation_r3,Correlation_r4,Correlation_r5,Correlation_r6,Correlation_r7,Correlation_r8,Correlation_r9,Correlation_r10,Correlation_r11,Correlation_r12,Correlation_r13,Correlation_r14,Correlation_r15,Correlation_r16
2.1,-0.5171233327971368,0.00012437126146740143,0.28579823355246436,0.2585616663985684,0.07330302450935014,0.022322974949536126,0.00708387860519636,0.0023383626304011194,0.0008016754351617884,0.0001883890003100394,6.254700175621878e-05,2.182549950450832e-05,7.451554827448443e-05,5.297975445434795e-05,4.843042427618897e-07,4.576687285719657e-06,4.906606750949474e-05,3.669682791288837e-05,-3.529407623501823e-05
2.2,-0.4898457089863625,0.00012628109238769245,0.25416750255592246,0.24492285449318124,0.06525166354110541,0.018529222996106324,0.005512684540885102,0.0016985127428230146,0.0006318062239899241,0.0002937177392297261,0.00011943205078603666,1.4691898491129776e-05,-5.6786689459171946e-05,-0.00014897671762280072,-0.00012742433361458312,-7.650101040546061e-05,-9.293614531444404e-06,-1.1009146294255653e-05,-4.6310384603537544e-05
2.3,-0.46581715962052506,0.00011207575521272284,0.23087960970154647,0.23290857981026253,0.058673928859423095,0.015743389942363555,0.004399868949834116,0.0012717360272711162,0.0004043961717181239,9.406833214027212e-05,7.413897655633852e-05,8.19177748124748e-05,0.00012771185474285622,0.00011495854102328205,9.691326192752047e-05,4.9799721552922773e-05,-2.358718548936895e-05,1.6977272501079495e-05,2.9965361736662785e-06
2.4,-0.4437795404809838,0.00011009427095663089,0.2078742219268194,0.2218897702404919,0.05288075669208746,0.013283011857108059,0.00336287764092715,0.0008147667808481345,0.000181031664526436,-6.182042106174687e-06,-2.1733442749694404e-05,-2.5244612597628214e-05,2.7955394292423248e-05,0.00012974651887403613,0.00010578846162903683,-2.244036549559464e-05,-7.707539073783232e-05,-1.7904841465285116e-05,-3.5129422655675366e-05
2.5,-0.4242976402790276,0.00010586329684216306,0.188718489937869,0.2121488201395138,0.04819578769006002,0.011538305326613103,0.0028660852172365785,0.0007743433338886612,0.0002243490037569429,0.0001003344400313487,9.767596486071497e-05,9.027836809958515e-06,-2.06029439488836e-05,3.452761195868655e-05,-6.349477780996838e-06,-2.2918549934057026e-05,-4.618796421749336e-05,-2.79218966522926e-06,1.8723752688934682e-05
2.6,-0.40610919106839494,0.00010634249767799427,0.1733914311443339,0.20305459553419747,0.04392458225688607,0.010049664001906393,0.0024169790651120218,0.0005884437928699013,0.00021739056523818656,9.71273027984976e-05,-2.8285426171585375e-05,-3.90876982249729e-05,-6.058433283311189e-05,-5.9584448307437455e-05,-3.5591316495923516e-06,-7.7069170980849e-05,-5.241140132241431e-05,-3.2713328883776776e-05,-3.509928772349391e-05
2.7,-0.38959465196660287,9.725178824080957e-05,0.15843847145842493,0.19479732598330143,0.04033956997058968,0.008827862353720538,0.001935335932216208,0.0004258862232266528,8.026678979497857e-05,2.6625565017430206e-05,8.677695582696362e-05,4.6311144779199186e-05,6.66466985575024e-05,4.8471272705477846e-05,-5.4785395358695724e-05,7.360668345431491e-06,3.503909867163368e-05,3.9967395097847057e-05,6.162450165965549e-05
2.8,-0.3742868714533864,0.00012030288592420725,0.14605670138027435,0.1871434357266932,0.03710983881885591,0.007791742627797759,0.0017322997992781693,0.00046324497987332633,0.00013300462279221885,2.9244107140816262e-05,2.738443985424874e-05,-7.660119543265436e-07,-0.00010181788671554721,-8.938191193362875e-05,-4.6432982947954265e-05,-9.807912043340912e-06,7.3253842914305046e-06,2.6289544841569768e-05,-2.040295132610591e-06
2.9,-0.3603462350433504,8.879794563148845e-05,0.13545832474567218,0.1801731175216752,0.034245196187913544,0.006884646362480399,0.0015135204280677691,0.0003529870239511501,3.7461686906457224e-05,5.5133487813327203e-05,4.186450263034563e-05,9.290950546225654e-05,2.565987149506777e-05,2.9937404070398596e-05,-1.3684095069937411e-05,-2.1790833060825563e-05,-1.2943797080645195e-05,-0.00010101477611594501,-0.00010937034472690368
3.0,-0.3475019301401762,9.393801716226471e-05,0.1254262669562062,0.1737509650700881,0.03173179547819937,0.006036992317864332,0.0011913877276604871,0.00023458529211349313,5.923475587574246e-05,6.330337483367527e-05,4.0692198909619335e-05,-6.0495030980895024e-05,-9.058601154589533e-06,1.4455662423959901e-05,-3.7845477755598837e-05,1.3696617259453463e-05,6.690844661038849e-05,0.00010737438964589279,9.410344224142275e-05
