Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite,Correlation_r1,Correlation_r2,Correlation_r3,Correlation_r4,Correlation_r5,Correlation_r6,Correlation_r7,Correlation_r8,Correlation_r9,Correlation_r10,Correlation_r11,Correlation_r12,Correlation_r13,Correlation_r14,Correlation_r15,Correlation_r16,Correlation_r17,Correlation_r18,Correlation_r19,Correlation_r20,Correlation_r21,Correlation_r22,Correlation_r23,Correlation_r24,Correlation_r25,Correlation_r26,Correlation_r27,Correlation_r28,Correlation_r29,Correlation_r30,Correlation_r31,Correlation_r32
1.5,-0.7785592930833126,0.00028210246447104545,0.6698908870869976,0.3892796465416563,0.17504336275903443,0.08598228274626321,0.04430570976002915,0.023309867049987047,0.012314460860060548,0.006489429029079014,0.0034757747854688072,0.001894385033523306,0.001111856755176469,0.0006699151190399084,0.0003495680062233576,0.00012536747005743493,-3.248782874145495e-05,-0.0001917954035713426,-0.00016540655276236227,-8.0672369594446e-05,0.00010721878227143861,0.00018093512321728375,8.299576963505286e-05,5.2607405855105646e-05,0.00012999237646486704,0.00014471311089378166,0.0001315451266720936,0.00016456076699195867,0.00019153939677665313,0.00031692882967309906,0.0002736983510391975,0.0002450585627170415,0.00019939686709327553,0.00022363934062985422,0.00016894164676733626
1.6,-0.7173491484784841,0.00022171119639964533,0.5684363865569252,0.35867457423924204,0.14687466733513163,0.06543260726911378,0.030578685010014095,0.014829916423467327,0.007251619534916989,0.0036105295277132606,0.0018186206100650017,0.0008793435992315997,0.00042132073147499005,0.00033358539613433216,0.0001286923109135783,3.901248604417993e-05,0.00021894000516824416,0.0002762826000784921,0.00024869112930829725,0.00015736417010903982,0.00015127236689034329,7.74918781558778e-05,7.538480335074568e-05,8.755810252459182e-05,4.249990415830052e-05,-0.00020573605332962014,-0.000299767503609766,-0.00026578837397231176,-0.00011417199631818155,-2.33685679588628e-06,0.00015969925354343756,0.00020636349240296962,0.00022051553547792097,0.0002947539437442526,0.00020214128769885153
1.7,-0.6654875393693537,0.00035877546112917763,0.48638169976995016,0.33274376968467684,0.125256676428584,0.051345415738193095,0.022213049776289476,0.010019651749960464,0.004684643267901301,0.0022573589314506576,0.0011938695743913253,0.0006666850052624772,0.0003475647195756823,-1.1973806803028598e-05,-0.00011248182502695872,-0.00010751776640065348,-0.00013687510324054175,-0.00013071696007623234,-0.00021940522548972286,-0.00022984300408951687,-0.00010134706565614826,-1.729354404725327e-05,-7.811401807980091e-05,9.404551719593629e-05,0.00020285313805224777,8.472002706543095e-05,2.8213742820556837e-05,-6.470137190119333e-05,-4.923266454069758e-05,-9.484111136696979e-05,-0.00017163752071705943,-0.0002483357821796663,-9.219349246705497e-05,-0.000123606969039545,-0.00013687933239547585
1.8,-0.6205772499826416,0.00020254307013408773,0.4214358707656629,0.3102886249913208,0.10786652595990737,0.040657092385327526,0.016123033920415555,0.006687339346920205,0.002914801067803427,0.0012347940336790368,0.0005400806865510719,0.00030639363424583474,4.809881029719186e-05,-2.0268273982055383e-05,-4.2401083627594164e-05,-0.0001034225977509485,-0.0001136227586222182,-2.3203662762378603e-07,-0.00014621390653426307,-0.00010730829268235207,-5.198905166742456e-05,-6.679980196100156e-05,-3.866376483762388e-06,4.6603831475711295e-05,1.574018672402185e-05,4.684629564928766e-05,5.234969222353107e-05,4.20007307316593e-05,7.863053726781403e-05,0.0001664945323198627,0.00010228630897056656,0.0001694134817419239,-3.0009118925182748e-05,-3.148223821755542e-05,-5.340478367604163e-05
1.9,-0.5813408833338273,0.0002772248169163794,0.3654141001189976,0.29067044166691364,0.09382534384412217,0.03269352969590217,0.01185907915808217,0.004437052818488322,0.0016616027484038704,0.0005676646547576264,0.000203009660550433,7.812654102443234e-05,-1.8415984229414853e-05,0.00010362291711980632,0.0001354173830616556,0.00010722237908408309,0.00023816042516180212,0.00028491281836438923,0.0004341950531842596,0.0002761622729397443,-3.6004846406740763e-06,-0.00021976865694865592,-0.0002778860996015973,-0.0002142961580615716,-0.00015760664210311717,-9.536528572884196e-05,-8.724396092328377e-05,-6.355677590811455e-05,-8.709483740774958e-06,-1.4056952062980555e-05,-5.100610437030064e-05,-2.9927055865186097e-05,5.0484865575927245e-05,2.4032236223382932e-05,-8.592735873388773e-05
2.0,-0.5473317435017615,0.0002255232577834118,0.32413556042899927,0.27366587175088075,0.08253529364427148,0.026832354485424044,0.009182644493901222,0.003096115167193744,0.0009483547907192418,0.0003273194182892492,1.0558781279701124e-05,-2.2058838263517456e-05,5.306427093523026e-05,9.145718115243782e-05,5.138933117538285e-05,2.5912704918884483e-05,2.4435546031385524e-05,0.00012244653379539134,7.382192023330794e-05,2.474556438905261e-06,4.435662992832828e-05,4.160499091667262e-05,5.055594236275266e-05,7.547249603787282e-06,9.730225361210887e-06,-0.00012727448519244154,-5.4138708467877614e-05,5.5592046138286916e-05,0.00016131795268757476,0.00017978181484880907,0.00014747370364110484,0.00018840799743176804,5.022611824507976e-05,-3.310822531184105e-05,-5.727330470152954e-05
2.1,-0.5172115823863754,0.00019534661394433908,0.2810439255181996,0.2586057911931877,0.07327815136803081,0.022193162033859307,0.007118239819796688,0.002449893144218287,0.0008673937964594159,0.00018144775859907402,1.4020899329373614e-06,3.159106587134294e-05,1.457661515703815e-05,-3.976534747148547e-05,2.805994914858573e-05,-0.00010996048935214158,-0.0002441652364882482,-0.00015609085910202596,-0.00022511581681253033,-0.0001369168299762481,-0.00016518640904819828,-0.0001246612126014916,-0.00012580649454751588,-0.00011140922170586621,-0.00011386027113103743,-0.00012546616694994876,-0.00013017957711624112,1.156088093572818e-05,0.00011974912311888809,0.0001272660912721538,3.125111945644013e-05,-2.6378730100650314e-05,-1.4899235360832394e-05,0.00016677502682086907,0.00031115176409145164
2.2,-0.49023503098472276,0.00023741277642916206,0.25542104421772305,0.24511751549236138,0.0654013779355906,0.0187962218168514,0.005615897020387971,0.0018347966926444057,0.0005996044061005668,0.00013694453406587717,5.741069349897224e-05,7.810823647914308e-05,1.162940051530299e-05,-2.5215530188038873e-05,1.1377728371916344e-05,0.00010556582742770218,7.964304920165007e-05,-1.0464671494937288e-05,-4.066521689833946e-05,2.5990525484802675e-05,1.8869543096276384e-05,6.657732860757625e-05,0.00011688464970911321,6.587061594004004e-05,-2.317690696501562e-05,-0.00010334680346378988,-0.00010800497188148347,-3.6619087316019056e-05,-2.4037554262781878e-05,-0.00015286677030127704,-2.1546972804798274e-05,-1.4208678924851873e-05,5.2285649229344254e-05,3.868093445377318e-05,1.3529356544389565e-05
2.3,-0.46569680241436473,0.00017442909921125887,0.23272176727494986,0.23284840120718237,0.05860226008680513,0.01555793224239957,0.004209334123027661,0.0011745711760376208,0.0003766434992213566,0.00017416688256600965,6.364454066941355e-05,0.0001659761397011609,0.00019232332223457252,6.166047363439454e-05,-3.047474089110331e-05,-3.433996679750392e-05,-9.22160068335006e-05,-4.917786669197385e-05,-3.9867669501583265e-05,-3.624273687644999e-05,8.364165271136797e-05,5.632993334042147e-05,0.00017388419067178583,0.0002028872330540804,6.857171562126702e-05,0.00010337491042473003,3.95801527717925e-05,3.2270892655666826e-05,2.2318638023853038e-05,0.00012168511661215886,0.00018288083225082358,5.320398375878917e-05,-4.234987071022278e-05,-0.00015110737258509102,-0.00015537744495173407
2.4,-0.4442018035450459,0.00021871224159075847,0.21151899091922388,0.22210090177252295,0.05305260280077046,0.013387560370793927,0.003683037704141176,0.0011164453370368622,0.0004458404125432742,8.766974584973983e-05,-3.1860791615184736e-05,-5.162627305537279e-05,-5.457444630701262e-05,-2.3195354569403248e-05,-4.694559077345047e-06,-8.040317013825861e-05,-9.562968313820824e-05,-2.9191328036260413e-05,-5.430473191754946e-06,-8.654172440329005e-06,-7.633256958454857e-05,-9.668973295389732e-05,-5.3290322870086135e-05,9.296474749797767e-05,3.871628429991344e-05,2.214167064465449e-05,-2.8385111296772352e-05,-3.867452451360176e-05,-7.849994358735971e-06,1.9770835398905443e-05,9.309939010438032e-06,0.00012259632568940496,0.00012254817339000864,3.122552560565399e-05,-5.17343603116869e-06
2.5,-0.42398384811889805,0.00017263731389972697,0.18971030733699082,0.21199192405944903,0.048154460243999164,0.011539484860598895,0.002863526852738647,0.0008232184509696604,0.00020879988654879623,-2.3569986791576726e-05,-5.6854162465163415e-05,-3.919149213076634e-05,-7.295988475874472e-05,-3.079680747815057e-05,-1.139009120475292e-05,0.00017343267949014165,0.0001735525566082554,0.00012308339182567882,5.114610964852439e-06,-1.6337658997208301e-06,-8.536448993879803e-05,-3.866581799825659e-05,3.9289984529340644e-05,0.0001230538130686501,6.827224509711434e-05,2.2727909498524454e-05,-2.491224516126955e-05,-9.480183138895108e-05,5.231508211269336e-05,6.499705750209815e-05,4.49049974815364e-05,-1.8753332243421565e-05,-4.501124716460215e-05,-6.206734920604669e-05,-3.4649104080351915e-05
2.6,-0.40601799999000276,0.00021363195397292083,0.17084742960869279,0.20300899999500138,0.044013865811216704,0.010033872824897365,0.0023687543563776607,0.0006138841556552607,0.0001659783089532273,7.158147287403456e-05,-3.337465474527636e-05,1.9347081649741377e-05,-5.343911047523986e-05,-7.451955380211583e-06,-1.2598621207394644e-05,1.622623058740792e-05,9.502080205054778e-05,0.00014810402759548086,4.6545581935270936e-05,-7.877440634750003e-05,-6.234586636761483e-05,-2.239042864739925e-05,-4.436638912383345e-05,-9.034023926288296e-05,-8.006794646697103e-05,-5.6596633875261706e-06,9.392859324720466e-05,0.00015316957628153956,0.00010807185650660127,-6.0074621085508206e-05,-0.00010955256847369874,-0.00012168066212657228,-0.00010231658634764562,-2.3141040434751787e-05,0.00013932362723032143
2.7,-0.3897516108877939,0.00019190975864097972,0.15543892993580258,0.19487580544389696,0.04026274756929189,0.00873167497945327,0.001983412566637898,0.0004954024896522787,5.5114358229712774e-05,5.079958845537502e-05,-3.189157804311042e-05,-0.00016341624007791387,-7.953777850627146e-05,-0.00012926508500366873,-6.823432159373147e-05,3.926776253685477e-05,7.041880295230168e-05,-1.9963741831377405e-05,4.079712456047963e-05,-8.278712028089418e-05,-4.219534100777196e-05,-6.866628711655945e-05,6.7874453907842866e-06,-1.2453920624096024e-05,-4.180922967029139e-05,-7.070090944224665e-05,3.240688550048195e-06,-5.317530918649482e-05,0.00013479718933216136,2.435044032621894e-05,-0.00014862683121646644,-0.00015049209813966955,-2.2578254106798e-05,2.6401870175472274e-05,2.3592623001510224e-05
2.8,-0.3743675067320178,0.00023051096185409788,0.144678063089737,0.1871837533660089,0.037072754677504066,0.0076915524769860175,0.001572850494732493,0.00039109270504564454,0.00015952804145454152,0.00015991949720299393,6.002606628145076e-05,2.2803304240585783e-05,9.247596125722369e-05,5.948553200957526e-05,-5.196167848038727e-05,-2.9507609311158807e-05,1.0683467854732948e-05,-1.978522016861274e-05,3.3371699010221345e-05,0.00019715508385203097,0.00011289477007241026,6.194727922781209e-05,-2.8327913184821077e-05,2.1592615946943863e-05,7.452009625782221e-05,0.00011268323833590757,0.000180274324004796,0.00017272968207606866,-0.00010840334992736267,-2.1118457560945896e-05,-1.5020600821889746e-05,-0.00010238295200528368,-2.1851164198038627e-05,8.92439081641799e-05,-5.2353513605706784e-05
2.9,-0.36030943590734144,0.00014898409932804244,0.13641743536642548,0.18015471795367072,0.034266674783513286,0.006874993182663318,0.0015013213958519314,0.00042286934916225177,0.00013278936072710855,3.5498695752071927e-06,7.035618586581795e-05,4.52898167073957e-05,-2.033892743186083e-05,-6.637466284296559e-05,-0.00011877284627050062,-0.00010580202767801495,8.902192959674741e-05,5.590799734566669e-05,7.283851625223764e-05,5.4047895512315865e-05,9.440369682879082e-07,-0.0002091077596292429,-6.0858197994152444e-05,3.862582821416681e-05,-7.647623419751794e-06,-2.885494646257373e-05,4.178935741125135e-05,-6.763907012112861e-06,-0.00015004077534217067,-5.3115653402231466e-05,5.9080237522646486e-05,0.0001274156050802908,5.7471053638797985e-05,0.00017612800947314786,0.00012004747752887172
3.0,-0.347195107173682,0.00013231007796628744,0.12586178651510713,0.173597553586841,0.031653623256656424,0.0059792509027165935,0.0010933345061308335,0.00020598591071812713,-1.2286012097424534e-05,-0.00010441467461889987,-0.0001103920316786227,5.516542814631456e-05,0.00010529714674184291,1.3582226684619099e-05,-1.536607402705794e-05,3.70492197989986e-05,5.493377488230216e-05,5.750190445938662e-05,-4.5892958679082646e-05,-6.542088015247871e-05,-7.385079361345428e-06,2.9241908309721748e-05,-8.915857215568882e-05,3.0305498109682897e-05,1.8723232342366534e-05,4.860481764227774e-05,0.00010900250621792333,-6.584415225515509e-05,0.00018768315040359308,5.467565814409652e-05,4.691715119039447e-05,-4.776663125863858e-05,3.3214778236187804e-05,0.00011593827596367154,6.383720356064716e-05
